data;indice;valor
2012-05-08;IFNC;3461.94
2012-05-08;IMAT;1735.62
2012-05-08;IMOB;862.75
2012-05-08;INDX;10949.70
2012-05-08;UTIL;3417.46
2012-05-09;ICON;2005.00
2012-05-09;IFNC;3422.60
2012-05-09;IMAT;1736.28
2012-05-09;IMOB;840.04
2012-05-09;INDX;10840.75
2012-05-09;UTIL;3413.71
2012-05-10;ICON;2014.00
2012-05-10;IFNC;3436.72
2012-05-10;IMAT;1740.00
2012-05-10;IMOB;831.67
2012-05-10;INDX;10838.76
2012-05-10;UTIL;3446.47
2012-05-11;ICON;2021.00
2012-05-11;IFNC;3463.15
2012-05-11;IMAT;1722.57
2012-05-11;IMOB;835.87
2012-05-11;INDX;10815.59
2012-05-11;UTIL;3448.54
2012-05-14;ICON;1985.00
2012-05-14;IFNC;3371.97
2012-05-14;IMAT;1674.26
2012-05-14;IMOB;802.25
2012-05-14;INDX;10559.35
2012-05-14;UTIL;3333.71
2012-05-15;ICON;1949.00
2012-05-16;ICON;1938.00
2012-05-16;IFNC;3292.04
2012-05-16;IMAT;1626.39
2012-05-16;IMOB;773.11
2012-05-16;INDX;10279.89
2012-05-16;UTIL;3325.92
2012-05-17;ICON;1894.00
2012-05-18;ICON;1900.00
2012-05-21;ICON;1922.00
2012-05-21;IFNC;3341.68
2012-05-21;IMAT;1646.37
2012-05-21;IMOB;761.19
2012-05-21;INDX;10246.14
2012-05-21;UTIL;3244.59
2012-05-22;ICON;1897.00
2012-05-22;IFNC;3328.73
2012-05-22;IMAT;1622.26
2012-05-22;IMOB;731.86
2012-05-22;INDX;10108.95
2012-05-22;UTIL;3248.50
2012-05-23;ICON;1858.00
2012-05-23;IFNC;3292.24
2012-05-23;IMAT;1606.51
2012-05-23;IMOB;724.60
2012-05-23;INDX;9956.87
2012-05-23;UTIL;3230.51
2012-05-24;ICON;1856.00
2012-05-24;IFNC;3254.24
2012-05-24;IMAT;1576.69
2012-05-24;IMOB;730.94
2012-05-24;INDX;9911.53
2012-05-24;UTIL;3216.23
2012-05-25;ICON;1881.00
2012-05-25;IFNC;3291.93
2012-05-25;IMAT;1576.44
2012-05-25;IMOB;756.88
2012-05-25;INDX;9993.88
2012-05-25;UTIL;3183.79
2012-05-28;ICON;1901.00
2012-05-28;IFNC;3310.07
2012-05-28;IMAT;1594.12
2012-05-28;IMOB;781.39
2012-05-28;INDX;10132.41
2012-05-28;UTIL;3222.12
2012-05-29;ICON;1882.00
2012-05-29;IFNC;3301.29
2012-05-29;IMAT;1594.30
2012-05-29;IMOB;756.15
2012-05-29;INDX;10012.13
2012-05-29;UTIL;3176.32
2012-05-30;ICON;1872.00
2012-05-30;IFNC;3279.48
2012-05-30;IMAT;1572.36
2012-05-30;IMOB;747.49
2012-05-30;INDX;9903.90
2012-05-30;UTIL;3170.05
2012-05-31;ICON;1895.00
2012-05-31;IFNC;3360.37
2012-05-31;IMAT;1558.81
2012-05-31;IMOB;754.73
2012-05-31;INDX;9936.67
2012-05-31;UTIL;3224.18
2012-06-01;ICON;1845.00
2012-06-01;IFNC;3314.97
2012-06-01;IMAT;1540.11
2012-06-01;IMOB;729.76
2012-06-01;INDX;9684.24
2012-06-01;UTIL;3208.28
2012-06-04;ICON;1856.00
2012-06-05;ICON;1835.00
2012-06-05;IFNC;3249.21
2012-06-05;IMAT;1517.55
2012-06-05;IMOB;707.36
2012-06-05;INDX;9527.26
2012-06-05;UTIL;3201.08
2012-06-06;ICON;1881.00
2012-06-06;IFNC;3356.56
2012-06-06;IMAT;1561.51
2012-06-06;IMOB;732.68
2012-06-06;INDX;9869.26
2012-06-06;UTIL;3265.94
2012-06-08;ICON;1883.00
2012-06-08;IFNC;3353.83
2012-06-08;IMAT;1570.68
